#SampleID	BarcodeSequence	LinkerPrimerSequence	Gene	Fragment_length _bp	Field_ID	Type_of _Wastewater	Month_Collected	Sampling_Location	Description	singles_even_1410_alpha	singles_even_1410_normalized_alpha	singles_even_1410_alpha_label	simpson_e_even_1410_alpha	simpson_e_even_1410_normalized_alpha	simpson_e_even_1410_alpha_label	observed_species_even_1410_alpha	observed_species_even_1410_normalized_alpha	observed_species_even_1410_alpha_label	goods_coverage_even_1410_alpha	goods_coverage_even_1410_normalized_alpha	goods_coverage_even_1410_alpha_label	shannon_even_1410_alpha	shannon_even_1410_normalized_alpha	shannon_even_1410_alpha_label
SKW163			amoA	349	SK02A	OWTS	August	SP1	SKW163	2.27464788732	0.0516934046346	bin_1_of_4	0.20237970076	0.351291428574	bin_2_of_4	16.7183098592	0.14232661777	bin_1_of_4	0.998386774548	0.94830659537	bin_4_of_4	2.29394389545	0.53344732361	bin_3_of_4
SKW164			amoA	349	SK05A	OWTS	August	SP2	SKW164	11.8661971831	0.398523045582	bin_2_of_4	0.0522547506999	0.0345234527359	bin_1_of_4	42.9788732394	0.488534026553	bin_2_of_4	0.991584257317	0.601476954415	bin_3_of_4	2.32028912705	0.540806461588	bin_3_of_4
SKW165			amoA	349	SK06A	OWTS	August	SP1	SKW165	28.5	1.0	bin_4_of_4	0.0854714364134	0.104611617916	bin_1_of_4	81.7746478873	1.0	bin_4_of_4	0.979787234043	0.0	bin_1_of_4	3.96417189581	1.0	bin_4_of_4
SKW166			amoA	349	SK06A	OWTS	August	SP2	SKW166	2.74647887324	0.0687547746371	bin_1_of_4	0.215403158	0.378771299085	bin_2_of_4	17.0070422535	0.146133135271	bin_1_of_4	0.998052142643	0.931245225364	bin_4_of_4	2.2774599056	0.528842772865	bin_3_of_4
SKW167			amoA	349	CH03F	OWTS	August	SP1	SKW167	3.62676056338	0.100585688821	bin_1_of_4	0.159860332509	0.26157433485	bin_2_of_4	16.0704225352	0.133785163866	bin_1_of_4	0.997427829388	0.899414311175	bin_4_of_4	1.82867965578	0.40348286594	bin_2_of_4
SKW168			amoA	349	CH04F	OWTS	August	SP1	SKW168	2.46478873239	0.0585688820983	bin_1_of_4	0.221601961397	0.391850953094	bin_2_of_4	14.4718309859	0.112710054777	bin_1_of_4	0.998251922885	0.941431117903	bin_4_of_4	2.03174453249	0.460205937098	bin_2_of_4
SKW169			amoA	349	10/4/16 AN1_2	WWTP	October	AN	SKW169	2.99295774648	0.0776674306086	bin_1_of_4	0.126178365804	0.190504413355	bin_1_of_4	10.5281690141	0.0607185962306	bin_1_of_4	0.997877334932	0.92233256939	bin_4_of_4	0.779387297165	0.110379075248	bin_1_of_4
SKW170			amoA	349	10/4/16 AER1_2	WWTP	October	AER	SKW170	3.74647887324	0.10491469315	bin_1_of_4	0.111085864971	0.158658801167	bin_1_of_4	12.5985915493	0.0880141119673	bin_1_of_4	0.997342922785	0.895085306847	bin_4_of_4	0.897231438111	0.143297035756	bin_1_of_4
SKW171			amoA	349	10/4/16 AN2_1	WWTP	October	AN	SKW171	3.28169014085	0.0881079704609	bin_1_of_4	0.140910381264	0.221589391004	bin_1_of_4	11.8802816901	0.0785442391607	bin_1_of_4	0.997672560184	0.911892029536	bin_4_of_4	1.22602757779	0.235141214467	bin_1_of_4
SKW172			amoA	349	10/4/16 AN2_2	WWTP	October	AN	SKW172	4.3661971831	0.127323656735	bin_1_of_4	0.247611116491	0.446731020725	bin_2_of_4	14.8450704225	0.117630674961	bin_1_of_4	0.996903406253	0.872676343261	bin_4_of_4	2.14108401108	0.4907482501	bin_2_of_4
